ingilizce,okunuş
worker,vörkir
world,vörld
worm,vörm
worry,vöri
worse,vörs
worship,vörşip
worst,vörst
worth,vörth
wound,vuund
wrap,rep
wreck,rek
wrist,rist
write,rayt
wrong,rong
x-ray,eks rey
yacht,yat
yard,yard
year,yiir
yellow,yelou
yes,yes
yesterday,yestidey
yet,yet
yield,yiild
yoghurt,yogit
yolk,youk
young,yang
your,yoor
youth,yuuth
zero,zirou
zip,zip
zone,zon
zoom,zum
